GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
G106346,2008,2020,0.0
G106346,2008,2025,0.0
G106346,2008,2030,0.0
G106347,2008,2020,0.0
G106347,2008,2025,0.0
G106347,2008,2030,0.0
G106348,2012,2020,0.0
G106348,2012,2025,273.4508248748207
G106348,2012,2030,177.62408347080643
G106348,2012,2035,0.0
G106349,2014,2020,0.0
G106349,2014,2025,0.0
G106349,2014,2030,0.0
G106349,2014,2035,0.0
G106470,2019,2020,0.0
G106470,2019,2025,0.0
G106470,2019,2030,0.0
G106470,2019,2035,0.0
G106471,2019,2020,0.0
G106471,2019,2025,0.0
G106471,2019,2030,0.0
G106471,2019,2035,0.0
G109041,2015,2020,0.0
G109041,2015,2025,0.0
G109041,2015,2030,0.0
G109041,2015,2035,0.0
G109042,2015,2020,0.0
G109042,2015,2025,0.0
G109042,2015,2030,0.0
G109042,2015,2035,0.0
G111092,2021,2025,0.0
G111092,2021,2030,0.0
G111092,2021,2035,0.0
G111093,2021,2025,0.0
G111093,2021,2030,0.0
G111093,2021,2035,0.0
G112778,2007,2020,0.0
G112778,2007,2025,50.0
G112778,2007,2030,50.0
G112779,2007,2020,50.0
G112779,2007,2025,50.0
G112779,2007,2030,50.0
G114088,2007,2020,0.0
G114088,2007,2025,135.0
G114088,2007,2030,135.0
G114089,2007,2020,0.0
G114089,2007,2025,135.0
G114089,2007,2030,135.0
G114090,2007,2020,0.0
G114090,2007,2025,135.0
G114090,2007,2030,135.0
outside_coal,2015,2020,0.0
outside_coal,2015,2025,0.0
outside_coal,2015,2030,0.0
outside_coal,2015,2035,0.0
s1,2019,2020,0.0
s1,2019,2025,0.0
s1,2019,2030,0.0
s1,2019,2035,0.0
s1,2020,2020,0.0
s1,2020,2025,0.0
s1,2020,2030,0.0
s1,2020,2035,0.0
s1,2025,2025,0.0
s1,2025,2030,0.0
s1,2025,2035,0.0
s1,2030,2030,0.0
s1,2030,2035,0.0
s1,2035,2035,0.0
s10,2019,2020,0.0
s10,2019,2025,0.0
s10,2019,2030,0.0
s10,2019,2035,0.0
s10,2020,2020,0.0
s10,2020,2025,0.0
s10,2020,2030,0.0
s10,2020,2035,0.0
s10,2025,2025,0.0
s10,2025,2030,0.0
s10,2025,2035,0.0
s10,2030,2030,0.0
s10,2030,2035,0.0
s10,2035,2035,0.0
s11,2019,2020,0.0
s11,2019,2025,0.0
s11,2019,2030,0.0
s11,2019,2035,0.0
s11,2020,2020,0.0
s11,2020,2025,0.0
s11,2020,2030,0.0
s11,2020,2035,0.0
s11,2025,2025,0.0
s11,2025,2030,0.0
s11,2025,2035,0.0
s11,2030,2030,0.0
s11,2030,2035,0.0
s11,2035,2035,0.0
s2,2019,2020,0.0
s2,2019,2025,0.0
s2,2019,2030,0.0
s2,2019,2035,0.0
s2,2020,2020,0.0
s2,2020,2025,0.0
s2,2020,2030,0.0
s2,2020,2035,0.0
s2,2025,2025,0.0
s2,2025,2030,0.0
s2,2025,2035,0.0
s2,2030,2030,0.0
s2,2030,2035,0.0
s2,2035,2035,0.0
s3,2019,2020,0.0
s3,2019,2025,0.0
s3,2019,2030,0.0
s3,2019,2035,0.0
s3,2020,2020,0.0
s3,2020,2025,0.0
s3,2020,2030,0.0
s3,2020,2035,0.0
s3,2025,2025,0.0
s3,2025,2030,0.0
s3,2025,2035,0.0
s3,2030,2030,0.0
s3,2030,2035,0.0
s3,2035,2035,0.0
s4,2019,2020,0.0
s4,2019,2025,0.0
s4,2019,2030,0.0
s4,2019,2035,0.0
s4,2020,2020,0.0
s4,2020,2025,0.0
s4,2020,2030,0.0
s4,2020,2035,0.0
s4,2025,2025,0.0
s4,2025,2030,0.0
s4,2025,2035,0.0
s4,2030,2030,0.0
s4,2030,2035,0.0
s4,2035,2035,0.0
s5,2019,2020,0.0
s5,2019,2025,0.0
s5,2019,2030,0.0
s5,2019,2035,0.0
s5,2020,2020,0.0
s5,2020,2025,0.0
s5,2020,2030,0.0
s5,2020,2035,0.0
s5,2025,2025,0.0
s5,2025,2030,0.0
s5,2025,2035,0.0
s5,2030,2030,0.0
s5,2030,2035,0.0
s5,2035,2035,0.0
s6,2019,2020,0.0
s6,2019,2025,0.0
s6,2019,2030,0.0
s6,2019,2035,0.0
s6,2020,2020,0.0
s6,2020,2025,0.0
s6,2020,2030,0.0
s6,2020,2035,0.0
s6,2025,2025,0.0
s6,2025,2030,0.0
s6,2025,2035,0.0
s6,2030,2030,0.0
s6,2030,2035,0.0
s6,2035,2035,0.0
s7,2019,2020,0.0
s7,2019,2025,0.0
s7,2019,2030,0.0
s7,2019,2035,0.0
s7,2020,2020,0.0
s7,2020,2025,0.0
s7,2020,2030,0.0
s7,2020,2035,0.0
s7,2025,2025,0.0
s7,2025,2030,0.0
s7,2025,2035,0.0
s7,2030,2030,0.0
s7,2030,2035,0.0
s7,2035,2035,0.0
s8,2019,2020,0.0
s8,2019,2025,0.0
s8,2019,2030,0.0
s8,2019,2035,0.0
s8,2020,2020,0.0
s8,2020,2025,0.0
s8,2020,2030,0.0
s8,2020,2035,0.0
s8,2025,2025,0.0
s8,2025,2030,0.0
s8,2025,2035,0.0
s8,2030,2030,0.0
s8,2030,2035,0.0
s8,2035,2035,0.0
s9,2019,2020,0.0
s9,2019,2025,0.0
s9,2019,2030,0.0
s9,2019,2035,0.0
s9,2020,2020,0.0
s9,2020,2025,0.0
s9,2020,2030,0.0
s9,2020,2035,0.0
s9,2025,2025,0.0
s9,2025,2030,0.0
s9,2025,2035,0.0
s9,2030,2030,0.0
s9,2030,2035,0.0
s9,2035,2035,0.0
w1,2019,2020,0.0
w1,2019,2025,0.0
w1,2019,2030,0.0
w1,2019,2035,0.0
w1,2020,2020,0.0
w1,2020,2025,0.0
w1,2020,2030,0.0
w1,2020,2035,0.0
w1,2025,2025,0.0
w1,2025,2030,0.0
w1,2025,2035,0.0
w1,2030,2030,0.0
w1,2030,2035,0.0
w1,2035,2035,0.0
w10,2019,2020,0.0
w10,2019,2025,0.0
w10,2019,2030,0.0
w10,2019,2035,0.0
w10,2020,2020,0.0
w10,2020,2025,0.0
w10,2020,2030,0.0
w10,2020,2035,0.0
w10,2025,2025,0.0
w10,2025,2030,0.0
w10,2025,2035,0.0
w10,2030,2030,0.0
w10,2030,2035,0.0
w10,2035,2035,0.0
w11,2019,2020,0.0
w11,2019,2025,0.0
w11,2019,2030,0.0
w11,2019,2035,0.0
w11,2020,2020,0.0
w11,2020,2025,0.0
w11,2020,2030,0.0
w11,2020,2035,0.0
w11,2025,2025,0.0
w11,2025,2030,0.0
w11,2025,2035,0.0
w11,2030,2030,0.0
w11,2030,2035,0.0
w11,2035,2035,0.0
w2,2019,2020,0.0
w2,2019,2025,0.0
w2,2019,2030,24.36040519
w2,2019,2035,0.0
w2,2020,2020,0.0
w2,2020,2025,0.0
w2,2020,2030,0.0
w2,2020,2035,0.0
w2,2025,2025,0.0
w2,2025,2030,0.0
w2,2025,2035,0.0
w2,2030,2030,0.0
w2,2030,2035,0.0
w2,2035,2035,0.0
w3,2019,2020,0.0
w3,2019,2025,0.0
w3,2019,2030,0.0
w3,2019,2035,0.0
w3,2020,2020,0.0
w3,2020,2025,0.0
w3,2020,2030,0.0
w3,2020,2035,0.0
w3,2025,2025,0.0
w3,2025,2030,0.0
w3,2025,2035,0.0
w3,2030,2030,0.0
w3,2030,2035,0.0
w3,2035,2035,0.0
w4,2019,2020,0.0
w4,2019,2025,0.0
w4,2019,2030,0.0
w4,2019,2035,0.0
w4,2020,2020,0.0
w4,2020,2025,0.0
w4,2020,2030,0.0
w4,2020,2035,0.0
w4,2025,2025,0.0
w4,2025,2030,0.0
w4,2025,2035,0.0
w4,2030,2030,0.0
w4,2030,2035,0.0
w4,2035,2035,0.0
w5,2019,2020,0.0
w5,2019,2025,0.0
w5,2019,2030,0.0
w5,2019,2035,0.0
w5,2020,2020,0.0
w5,2020,2025,0.0
w5,2020,2030,0.0
w5,2020,2035,0.0
w5,2025,2025,0.0
w5,2025,2030,0.0
w5,2025,2035,0.0
w5,2030,2030,0.0
w5,2030,2035,0.0
w5,2035,2035,0.0
w6,2019,2020,0.0
w6,2019,2025,0.0
w6,2019,2030,0.0
w6,2019,2035,0.0
w6,2020,2020,0.0
w6,2020,2025,0.0
w6,2020,2030,0.0
w6,2020,2035,0.0
w6,2025,2025,0.0
w6,2025,2030,0.0
w6,2025,2035,0.0
w6,2030,2030,0.0
w6,2030,2035,0.0
w6,2035,2035,0.0
w7,2019,2020,0.0
w7,2019,2025,0.0
w7,2019,2030,0.0
w7,2019,2035,0.0
w7,2020,2020,0.0
w7,2020,2025,0.0
w7,2020,2030,0.0
w7,2020,2035,0.0
w7,2025,2025,0.0
w7,2025,2030,0.0
w7,2025,2035,0.0
w7,2030,2030,0.0
w7,2030,2035,0.0
w7,2035,2035,0.0
w8,2019,2020,0.0
w8,2019,2025,0.0
w8,2019,2030,0.0
w8,2019,2035,0.0
w8,2020,2020,0.0
w8,2020,2025,0.0
w8,2020,2030,0.0
w8,2020,2035,0.0
w8,2025,2025,0.0
w8,2025,2030,0.0
w8,2025,2035,0.0
w8,2030,2030,0.0
w8,2030,2035,0.0
w8,2035,2035,0.0
w9,2019,2020,0.0
w9,2019,2025,0.0
w9,2019,2030,0.0
w9,2019,2035,0.0
w9,2020,2020,0.0
w9,2020,2025,0.0
w9,2020,2030,0.0
w9,2020,2035,0.0
w9,2025,2025,0.0
w9,2025,2030,0.0
w9,2025,2035,0.0
w9,2030,2030,0.0
w9,2030,2035,0.0
w9,2035,2035,0.0
